<<<<<<< HEAD
abandon   v.Å×Æú£¬·ÅÆú
meter   n.Á¿Æ÷£¬ÒÇ±í
method   n.·½·¨
methodology   n.·½·¨(ÂÛ)
meticulous   adj.Ð¡ÐÄÒíÒíµÄ
meticulously   adv.µ¨Ð¡µØ
metre   n.Ã×£¬¹«³ß
metric   adj.¹«ÖÆµÄ£¬Ã×µÄ
metropolitan   n.´ó¶¼ÊÐ
mexican   n.,adj.Ä«Î÷¸çÈË(µÄ)
mexico   n.Ä«Î÷¸ç
microeconomics   n.Î¢¹Û¾­¼ÃÑ§
microphone   n.À©ÒôÆ÷£¬»°Í²
microprocessor   n.Î¢´¦Àí»ú
microscope   n.ÏÔÎ¢¾µ
microwave   n.Î¢²¨
midday   n.ÕýÎç£¬ÉÎÎç
middle   n.µ±ÖÐ adj.ÖÐ²¿µÄ
middleman   n.ÖÐÈË£¬ÖÐ¼äÈË
middling   n.ÖÐµÈµÄ£¬µÚ¶þÁ÷µÄ
midnight   n.ÎçÒ¹
midst   n.ÖÐ¼ä£¬ÖÐ²¿
might   v.»òÐí£¬¿ÉÒÔ n.Á¦
mighty   adj.Ç¿ÓÐÁ¦µÄ
migrant   adj.Ç¨ÒÆµÄ£¬ºòÄñµÄ
migrate   v.Ç¨ÒÆ(º£Íâ)£¬ÒÆÆÜ
migration   n.Ç¨ÒÆ£¬ÒÆ¾Óº£Íâ
mild   adj.ÎÂºÍµÄ£¬Î¶µ­µÄ
mile   n.Ó¢Àï
mileage   n.Àï³Ì
milestone   n.Àï³Ì±®
military   adj.¾üÊÂµÄ£¬ºÃ¶·µÄ
militia   n.Ãñ±ø(×éÖ¯)
milk   n.ÄÌ£¬ÈéÒ¹ v.¼·ÄÌ
milkman   n.ËÍÄÌÈË
milky   adj.¼ÓÄÌµÄ£¬Èé°×É«µÄ
mill   n.Ä¥·»£¬¹¤³§ v.¹öÂÒ
miller   n.Ä¥·»Ö÷
millimetre   n.ºÁÃ×
million   n.°ÙÍò
millionaire   n.°ÙÍò¸»ÎÌ
mince   v.ÇÐËé£¬½ÊËé
mincer   n.·ÛËé»ú
mind   n.Í·ÄÔ£¬ÖÇÁ¦ v.½éÒâ
mine   pron.ÎÒµÄ n.¿óÉ½
miner   n.¿ó¹¤
mineral   n.¿óÎï adj.¿óÎïµÄ
mingle   v.»ìºÏ£¬»ìÈë
miniature   n.³ûÐÎ£¬ËõÓ°£¬ÐäÕä
minicomputer   n.Î¢ÐÍ¼ÆËã»ú
minimize   v.Ê¹¼õµ½×îÐ¡
minimum   n.×îÉÙÁ¿ adj.×îÐ¡µÄ
minister   n.½ÌÊ¿£¬²¿³¤£¬´ó³¼
ministry   n.(Õþ¸®)²¿
minor   adj.½ÏÐ¡µÄ£¬´ÎÒªµÄ
minority   n.ÉÙÊý£¬ÉÙÊýÃñ×å
mint   n.Ôì±Ò³§£¬±¡ºÉ
minus   prep.¼õÈ¥ adj.¼õµÄ
minute   n.·ÖÖÓ£¬Æ¬¿Ì
miracle   n.Ææ¼££¬ÁîÈË¾ªÑÈµÄÊÂ
miraculous   adj.Ææ¼£(°ã)µÄ
mirror   n.¾µ×Ó v.·´Ó³
miscarriage   n.Î´µ½Ä¿µÄµØ
miscarry   v.Î´ÔËµ½(Ä¿µÄµØ)
mischief   n.ÉËº¦£¬¶ñ×÷¾ç
miser   n.ÁßØÄ¹í£¬ÊØ²ÆÅ«
miserable   adj.±¯²ÒµÄ£¬Ôã¸âµÄ
misery   n.Í´¿à£¬±¯²Ò£¬¿àÄÑ
misfortune   n.²»ÐÒ
misgiving   n.ÒÉÂÇ£¬µ£ÐÄ
mishandle   v.×°Ð¶²»É÷
mishap   n.ÊÂ¹Ê
misinterpret   v.Îó½â
mislead   v.ÒýÈëáªÍ¾
miss   v.Î´»÷ÖÐ,´í¹ý n.Ð¡½ã
missile   n.µ¼µ¯£¬·¢ÉäÎï
missing   adj.¶ªÊ§µÄ£¬È±ÉÙµÄ
mission   n.Ê¹ÍÅ£¬Ê¹Ãü£¬ÌìÖ°
missionary   n.´«½ÌÊ¿
mist   n.±¡Îí v.Ê¹ÃÔºý
mistake   n.´íÎó£¬Îó½â v.¸ã´í
mistaken   adj.¸ã´íÁËµÄ£¬Îó½âµÄ
mister   n.ÏÈÉú(ËõÐ´ÎªMr.)
mistress   n.Å®Ö÷ÈË£¬Çé¸¾
misty   adj.ÎíÃÉÃÉµÄ£¬ÓÐÎíµÄ
misunderstand   v.Îó½â£¬Îó»á
misunderstanding   n.Îó»á£¬Çú½â
mitten   n.Á¬Ö¸ÊÖÌ×£¬Â¶Ö¸ÊÖÌ×
mix   v.»ìºÏ£¬ÅäÁÏ£¬½»Íù
mixer   n.»ìºÏÆ÷
mixture   n.»ìºÏÎï£¬»ìºÍ
moan   v.,n.ÉëÒ÷£¬±¯Ì¾
mob   n.±©Ãñ£¬ÎÚºÏÖ®ÖÚ
mobile   adj.»ú¶¯µÄ£¬Á÷¶¯µÄ
mobilize   v.¶¯Ô±
mock   v.³°Ð¦£¬ÓÞÅª
mode   n.·½Ê½£¬·½·¨
model   n.Ä£·¶£¬Ä£ÐÍ£¬Ä£ÌØ¶ù
moderate   adj.ÊÊ¶ÈµÄ v.»ººÍ
moderately   adv.ÊÊ¶ÈµØ£¬ÊÊÖÐµØ
modern   adj.ÏÖ´úµÄ£¬Ê±÷ÖµÄ
modernization   n.ÏÖ´ú»¯
modernize   v.Ê¹...ÏÖ´ú»¯
modest   adj.Ç«ÐéµÄ£¬ÖÊÆÓµÄ
modesty   n.Ç«Ðé
modification   n.ÐÞ¸Ä£¬»ººÍ
modified   adj.¸ÄÁ¼µÄ£¬¸Ä½øµÄ
modify   v.ÐÞ¸Ä£¬¼õÇá£¬ÐÞÊÎ
modulate   v.µ÷Õû£¬¸Ä±ä
module   n.Ä£Á¿£¬Ä£¼þ
moist   adj.³±ÊªµÄ
moisture   n.³±Æø
molecular   adj.·Ö×ÓµÄ
molecule   n.·Ö×Ó
moment   n.Ê±¿Ì£¬Ë²¼ä
momentary   adj.Æ¬¿ÌµÄ£¬Ë²¼äµÄ
momentous   adj.ÖØÒªµÄ£¬ÖØ´óµÄ
monarch   n.¾ýÖ÷£¬ÍõÊÒ
monastery   adj.ÐÞµÀÔº£¬ËÂÔº
monday   n.ÐÇÆÚÒ»
monetary   adj.»õ±ÒµÄ£¬½ðÈÚµÄ
money   n.½ðÇ®£¬»õ±Ò£¬²Æ¸»
monitor   n.°à³¤,¼àÊÓÆ÷ v.¼àÊÓ
monk   n.ºÍÉÐ£¬ÐÞµÀÊ¿
monkey   n.ºï×Ó
monopolize   v.Â¢¶Ï£¬¶ÀÕ¼
monopoly   n.Â¢¶Ï£¬¶ÀÕ¼
monotonous   adj.µ¥µ÷µÄ£¬¿ÝÔïµÄ
monotony   n.µ¥µ÷£¬¿ÝÔï
monster   n.¹ÖÊÞ£¬¹ÖÎï£¬Ä§¹í
monstrous   adj.¿ÉÅÂµÄ£¬¼«¶ñµÄ
month   n.ÔÂ·Ý
monthly   adj.Ã¿ÔÂµÄ n.ÔÂ¿¯
monument   n.¼ÍÄîÕÂ£¬²»ÐàÖ®Îï
monumental   adj.¼ÍÄî±®Ê½µÄ
mood   n.ÐÄÇé£¬ÐÄ¾³£¬ÇéÐ÷
moon   n.ÔÂÁÁ
moonlight   n.ÔÂ¹â
moonlighting   n.ÒµÓà¸É»î
moor   v.Ïµ²´£¬°Ñ´¬Ë¨¶¨
mop   n.ÍÏ°Ñ£¬¶Õ²¼
moral   adj.µÀµÂµÄ n.½ÌÑµ
morale   n.Ê¿Æø£¬¶·Ö¾
morality   n.µÀµÂÆ·ÖÊ
more   adj.¸ü¶àµÄ,¸ü adv.¸ü
moreover   adv.´ËÍâ£¬¶øÇÒ
morning   n.Ôç³¿£¬ÉÏÎç
mortal   adj.ÖÂÃüµÄ
moslem   n.,adj.ÄÂË¹ÁÖ
mosque   n.ÇåÕæËÂ
mosquito   n.ÎÃ×Ó
moss   n.Ì¦Þº£¬µØÒÂ
most   adj.×î¶àµÄ adv.·Ç³£
mostly   adv.Ö÷ÒªµØ£¬´ó¶à
motel   n.Æû³µÂÃ¹Ý
moth   n.¶ê
mother   n.Ä¸Ç× adj.³öÉúµØµÄ
mother-in-law   n.ÔÀÄ¸£¬ÆÅÆÅ
motion   n.ÔË¶¯£¬Òé°¸
motionless   adj.²»¶¯µÄ
motivate   v.´Ù½ø£¬¼¤·¢
motivation   n.¶¯»ú
motive   n.¶¯»ú
motor   n.·¢¶¯»ú
motorcar   n.Æû³µ
motorcycle   n.Ä¦ÍÐ³µ
motorist   n.Ä¦ÍÐ³µÊÖ
motorway   n.Æû³µµÀ£¬¸ßËÙ¹«Â·
motto   n.×ùÓÒÃú
mould   n.Ä£×Ó£¬ÐÍ£¬Ã¹¾ú
mount   n.É½£¬ÔÀ v.µÇÉÏ
mountain   n.É½
mountainous   adj.¶àÉ½µÄ£¬É½Ò»°ãµÄ
mourn   v.±¯µ¿£¬°§Í´
mournful   adj.±¯µ¿µÄ£¬°§Í´µÄ
mourning   n.°§Í´
mouse   n.ÀÏÊó
moustache   n.ºú×Ó£¬Ðë
mouth   n.¿Ú£¬×ì°Í£¬ºÓ¿Ú
mouthful   n.Ò»¿Ú£¬Âú¿Ú
move   v.ÒÆ¶¯£¬ÍÆ¶¯£¬°á¼Ò
movement   n.»î¶¯£¬ÔË¶¯£¬¶¯×÷
movie   n.µçÓ°(Ôº)
mr.   n.(Ëõ)ÏÈÉú
mrs.   n.(Ëõ)·òÈË£¬Ì«Ì«
ms.   n.(Ëõ)Å®Ê¿
much   adj.Ðí¶àµÄ n.Ðí¶à
mud   n.Äà½¬
muddy   adj.ÄàÅ¢µÄ
muffle   v.¹ü×¡£¬Îæ×¡
muffler   n.Î§½í£¬ÏûÒôÆ÷
mug   n.(ÓÐ±ú)´ó±­
mule   n.Ââ×Ó
multiple   adj.¸´ºÏµÄ£¬¶à´Î·½µÄ
multiplication   n.³Ë·¨£¬Ôö¼Ó
multiply   v.³Ë£¬Ôö¼Ó£¬·±Ö³
multifunction   n.¶à¹¦ÄÜµÄ
multitude   n.´óÅú£¬´óÈº
municipal   adj.ÊÐµÄ£¬ÊÐÕþµÄ
mumble   v.¹¾ßæ£¬à½àì
mumps   n.ÈùÏÙÑ×
murder   v.,n.Ä±É±(°¸)
murderer   n.Ð×ÊÖ£¬É±ÈË·¸
murmur   v.µÍÉùËµ
muscle   n.½î£¬¼¡Èâ
muscular   adj.¼¡Èâ·¢´ïµÄ
muse   v.³ÁË¼£¬Ä¬Ïë
museum   n.²©Îï¹Ý£¬³ÂÁÐ¹Ý
mushroom   n.¡°Ä¢¹½
music   n.ÒôÀÖ£¬ÀÖÇú
musical   adj.ÒôÀÖµÄ n.¸èÎèÆ¬
musician   n.ÒôÀÖ¼Ò£¬×÷Çú¼Ò
must   v.±ØÐë£¬×¼ÊÇ n.±ØÐë
mustard   n.½æÄ©
mute   adj.¼êÄ¬µÄ n.ÑÆ°Í
mutter   v.¹¾ßæ£¬±§Ô¹
mutton   n.ÑòÈâ
mutual   adj.Ïà»¥µÄ£¬¹²Í¬µÄ
my   pron.ÎÒµÄ
myriad   n.,adj.ÎÞÊý(µÄ)
myself   pron.ÎÒ×Ô¼º£¬ÎÒÇ××Ô
mysterious   adj.ÉñÃØµÄ£¬ÐþÃîµÄ
mystery   n.ÉñÃØ£¬°ÂÃî£¬ÃØÊÂ
mystic   adj.ÉñÃØµÄ
myth   n.Éñ»°
mythology   n.Éñ»°(Ñ§)
nail   n.¶¤×Ó£¬Ö¸¼× v.¶¤
naive   adj.ÌìÕæµÄ
naked   adj.ÂãÌåµÄ£¬³àÂãÂãµÄ
name   n.ÐÕÃû£¬Ãû³Æ v.ÃüÃû
nameless   adj.ÎÞÃûµÄ
namely   adv.¼´£¬Ò²¾ÍÊÇ
namesake   n.ÃûÒå
nap   n.´òíï£¬Ð¡Ë¯
napkin   n.²Í½í(Ö½)
narrate   v.ÐðÊö
narration   n.ÐðÊö
narrator   n.ÐðÊöÕß
narrow   adj.ÏÁÕ­µÄ£¬ÃãÇ¿µÄ
nasty   adj.°¹ÔàµÄ£¬ÏÂÁ÷µÄ
nation   n.¹ú¼Ò£¬¹úÃñ£¬Ãñ×å
national   adj.Ãñ×åµÄ£¬¹ú¼ÒµÄ
nationality   n.¹ú¼®
native   adj.±¾¹úµÄ£¬³öÉúµØµÄ
natural   adj.×ÔÈ»µÄ£¬Í¨³£µÄ
naturally   adv.×ÔÈ»µØ
nature   n.×ÔÈ»£¬±¾ÐÔ£¬ÐÔÖÊ
naughty   adj.ÌÔÆøµÄ£¬ÍçÆ¤µÄ
nausea   v.¶ñÐÄ£¬ÌÖÑá
naval   adj.º£¾üµÄ
navel   n.Æê£¬ÖÐÐÄ
navigable   adj.¿Éº½ÐÐµÄ
navigation   n.º½ÐÐ£¬º½º££¬º½¿Õ
navy   n.º£¾ü
near   adv.½ü adj.½üµÄ
nearby   adj.,adv.¸½½ü(µÄ)
nearly   adv.¼¸ºõ£¬²î²»¶à
neat   adj.Õû½àµÄ£¬¼ò½àµÄ
necessarily   adv.±ØÈ»£¬µ±È»
necessary   adj.±ØÒªµÄ£¬±ØÈ»µÄ
necessitate   v.Ê¹ÐèÒª£¬Ç¿ÆÈ
necessity   n.±ØÒªÐÔ£¬±ØÐëÆ·
neck   n.¾±£¬²±×Ó
necklace   n.ÏîÁ´
need   n.ÐèÒª£¬Æ¶À§ v.ÐèÒª
needful   adj.±ØÒªµÄ
needle   n.Õë£¬Ö¸Õë£¬ÕëÒ¶
needless   adj.²»±ØÒªµÄ£¬ÎÞÓÃµÄ
needy   adj.Æ¶ÇîµÄ
negate   v.·ñ¶¨
negation   n.·ñ¶¨
negative   adj.·ñ¶¨µÄ n.¸ºÆ¬
neglect   v.,n.Êèºö£¬ºöÊÓ
negligence   n.Êèºö£¬¹ýÊ§
negligent   adj.´ÖÐÄ´óÒâµÄ
negligible   adj.Î¢²»×ãµÀµÄ
negotiable   adj.¿ÉÌ¸ÅÐµÄ
negotiate   v.Ì¸ÅÐ£¬½»Éæ
negotiation   n.Ì¸ÅÐ
negro   n.ºÚÈË(±áÒå)
neighbor   n.ÁÚ¾Ó£¬ÁÚ¹ú
neighborhood   n.ÁÚÀï£¬½Ö·»
neighboring   adj.ÁÚ½üµÄ£¬ÏàÁÚµÄ
neither   conj.¼È²»...ÓÖ²»...
nephew   n.Ö¶×Ó£¬ÍâÉû
nerve   n.Éñ¾­£¬µ¨Á¿
nervous   adj.Éñ¾­(ÖÊ)µÄ£¬
nest   n.³²£¬ÎÑ
nestle   v.°²¶Ù£¬½¨³²
net   n.Íø adj.¾»µÄ£¬´¿µÄ
network   n.ÍøÂç£¬Íø×´×éÖ¯
neutral   adj.ÖÐÁ¢µÄ£¬ÖÐºÍµÄ
neutrality   n.ÖÐÁ¢
neutron   n.ÖÐ×Ó
never   adv.´Ó²»£¬ÓÀ²»£¬Î´Ôø
nevertheless   adv.»¹ÊÇ£¬È»¶ø
new   adj.ÐÂµÄ£¬ÖØÐÂµÄ
news   n.ÐÂÎÅ£¬ÏûÏ¢
newspaper   n.±¨Ö½£¬ÐÂÎÅÖ½
next   adv.ÏÂÒ»´Î£¬È»ºó
nice   adj.ÁîÈËÓä¿ìµÄ
nickel   n.Äø£¬Äø±Ò
nickname   n.´ÂºÅ£¬Ú»ºÅ
niece   n.Ö¶Å®£¬ÍâÉûÅ®
night   n.Ò¹£¬ºÚÒ¹
nightgown   n.Ë¯ÒÂ
nightingale   n.Ò¹Ýº
nightmare   n.¶ñÃÎ
nine   num.¾Å
nineteen   num.Ê®¾Å
ninety   num.¾ÅÊ®
ninth   num.µÚ¾Å£¬¾Å·ÖÖ®Ò»
nitrogen   n.µª
no   adv.²»,ºÁ²» adj.Ã»ÓÐ
no.   n.(Ëõ)...ºÅ£¬ºÅÂë
nobility   n.¸ß¹ó£¬×¯ÑÏ
noble   adj.¸ßÉÐµÄ£¬¹ó×åµÄ
nobody   prep.Ë­Ò²²»
nod   v.,n.µãÍ·
noise   n.ÔëÒô£¬³³ÈÂÉù
noisy   adj.³³ÄÖµÄ
nominal   adj.ÃûÒåÉÏµÄ£¬Æ±ÃæµÄ
nominate   v.ÌáÃû£¬ÍÆ¼ö£¬ÈÎÃü
nomination   n.ÌáÃû£¬ÈÎÃü
none   prep.Ã»ÈË£¬ºÁÎÞ
nonsense   n.·Ï»°£¬ÃýÂÛ
noon   n.ÖÐÎç£¬ÕýÎç
nor   conj.Ò²²»£¬Ò²Ã»
norm   n.±ê×¼£¬¹æ·¶£¬¶¨¶î
normal   adj.Õý³£µÄ£¬±ê×¼µÄ
normalization   n.Õý³£»¯
normalize   v.Ê¹Õý³££¬Ê¹±ê×¼»¯
normally   adv.Õý³£µØ£¬Í¨³£
north   n.±±£¬±±·½ adj.±±µÄ
northeast   adj.,n.¶«±±(µÄ)
northern   adj.±±·½µÄ£¬±±²¿µÄ
northward   adj.,adv.Ïò±±(µÄ)
northwest   adj.,n.Î÷±±(µÄ)
nose   n.±Ç×Ó
nostril   n.±Ç¿×
not   adv.²»
notable   adj.ÖµµÃ×¢ÒâµÄ
notably   adj.ÓÈÆä£¬ÖµµÃ×¢ÒâµØ
note   n.±Ê¼Ç£¬×¢ÊÍ£¬±ãÌõ
notebook   n.±Ê¼Ç±¾
noted   adj.ÖøÃûµÄ
note-taking   n.±Ê¼Ç£¬±ÊÂ¼
nothing   n.Ã»ÓÐ¶«Î÷ adv.ºÁ²»
notice   v.ÁôÒâ n.×¢Òâ£¬Í¨Öª
noticeable   adj.ÏÔ¶øÒ×¼ûµÄ
notification   n.Í¨Öª(Êé)£¬²¼¸æ
notify   v.Í¨Öª£¬Í¨¸æ£¬±¨¸æ
notion   n.¸ÅÄî£¬Òâ¼û£¬¿´·¨
notorious   adj.³ôÃûÕÑÖøµÄ
notwithstanding   prep.,conj.¾¡¹Ü
nought   n.Áã
noun   n.Ãû´Ê
nourish   v.ÑøÓý£¬Ìá¹©Ñø·Ö
nourishment   n.Ê³Îï£¬²¹Æ·
novel   adj.ÐÂÓ±µÄ n.Ð¡Ëµ
novelist   n.Ð¡Ëµ¼Ò
novelette   n.ÖÐÆªÐ¡Ëµ
novelty   n.ÐÂÆæ£¬ÐÂÓ±
november   n.Ê®Ò»ÔÂ
now   adv.n.ÏÖÔÚ conj.¼ÈÈ»
nowadays   adv.ÏÖ½ñ£¬Ä¿Ç°
nowhere   adv.ÄÄ¶ùÒ²²»
nuclear   adj.ºËµÄ£¬Ô­×ÓºËµÄ
nucleus   n.(Ô­×Ó)ºË£¬ºËÐÄ
nuisance   n.ÁîÈËÌÖÑáµÄÈË»òÊÂ
null   n.ÎÞ
nullify   v.Ê¹ÎÞÐ§£¬È¡Ïû
number   n.Êý×Ö£¬Èô¸É£¬ºÅÂë
numerical   adj.Êý×ÖµÄ
numerous   adj.ÖÚ¶àµÄ£¬´óÁ¿µÄ
nun   n.ÐÞÅ®£¬Äá¹Ã
nurse   n.»¤Ê¿£¬±£Ä· v.»¤Àí
nursery   n.ÍÐ¶ùËù£¬ÃçÆÔ
nut   n.¼á¹û£¬ÂÝÄ¸
nylon   n.ÄáÁú
oak   n.ÏðÊ÷£¬èÝÊ÷
oar   n.éÖ£¬½°
oath   n.ÊÄÑÔ£¬ÊÄÔ¼
obedience   n.·þ´Ó£¬Ë³´Ó
obedient   adj.·þ´ÓµÄ£¬Ë³´ÓµÄ
obey   v.·þ´Ó£¬×ñÊØ
object   n.ÎïÌå£¬Ä¿µÄ v.·´¶Ô
objection   n.·´¶Ô£¬ÒìÒé£¬²»Ô¸
objective   n.Ä¿±ê adj.¿Í¹ÛµÄ
obligation   n.ÒåÎñ£¬ÔðÈÎ
oblige   v.Ôð³É£¬Ê¹¸Ð¼¤
obliterate   adj.É¾È¥£¬Ä¨µô
oblong   adj.ÍÖÔ²ÐÎµÄ
obscure   adj.ÎÞÃûµÄ v.ÕÚ±Î
observance   n.ÒÇÊ½£¬Ï°¹ß
observation   n.¹Û²ì£¬ÆÀÊö
observe   v.¹Û²ì£¬×ñÊØ£¬×¢ÊÓ
observer   n.¹Û²ìÔ±
obstacle   n.ÕÏ°­(Îï)
obstinate   adj.¹ÌÖ´µÄ£¬ÍçÇ¿µÄ
obstruction   n.¶ÂÈû£¬·Á°­
obtain   v.»ñµÃ
obtainable   adj.¿ÉµÃµ½µÄ
obvious   adj.Ã÷ÏÔµÄ
obviously   adv.Ã÷ÏÔµØ£¬ÏÔÈ»
occasion   n.³¡ºÏ£¬Ê¢ÊÂ£¬»ú»á
occasional   adj.Å¼È»µÄ£¬ÓÐÊ±µÄ
occasionally   adv.Å¼¶ø£¬ÓÐÊ±
occident   n.Î÷·½
occidental   adj.Î÷·½µÄ£¬Î÷ÑóµÄ
occupation   n.Ö°Òµ£¬Õ¼ÓÐ
occupy   v.Õ¼¾Ý£¬Õ¼Áì£¬µ£ÈÎ
occur   v.·¢Éú£¬³öÏÖ£¬Ïëµ½
occurrence   n.·¢Éú£¬³öÏÖ£¬ÊÂ¼þ
ocean   n.º£Ñó£¬´óÑó
oceania   n.´óÑóÖÞ
oceanography   n.º£ÑóÑ§
o'clock   adv.µãÖÓ
october   n.Ê®ÔÂ
odd   adj.¹Å¹ÖµÄ£¬ÆæÊýµÄ
odour   n.ÆøÎ¶
of   prep..µÄ(±íÊ¾ÁìÊôµÈ)
off   adv....È¥ prep.Àë¿ª
off-duty   adj.²»µ±°àµÄ
offence   n.¹ý´í£¬Ã°·¸£¬¹¥»÷
offend   v.Ã°·¸£¬µÃ×ï
offensive   adj.Ã°·¸µÄ£¬¹¥»÷µÄ
offer   v.,n.Ìá¹©£¬±¨ÅÌ
offering   n.±¨ÅÌ£¬Ìá¹©µÄ»õÎï
off-grade   adj.µÈÍâµÄ£¬ÖÊ²îµÄ
office   n.°ì¹«ÊÒ£¬ÊÂÎñËù
officer   n.¾ü¹Ù£¬¾¯¹Ù£¬¹ÙÔ±
official   n.¹ÙÔ± adj.¹Ù·½µÄ
offset   v.µÖÏû£¬ÃÖ²¹
offspring   n.×ÓÅ®£¬×ÓËï
often   adv.¾­³££¬³£³£
oh   int.Å¶£¬àÀ
oil   n.ÓÍ£¬Ê¯ÓÍ
o.k.   adj.,n.(Ëõ)¶Ô£¬ÐÐ
old   adj.ÀÏµÄ£¬...ËêµÄ
olive   n.éÏé­(Ê÷)
omen   n.Ç°Õ×
ominous   adj.²»ÏéµÄ
omission   n.Ê¡ÂÔ
omit   v.Ê¡ÂÔ£¬ÒÅÂ©
on   prep.ÔÚ...ÉÏ£¬¹ØÓÚ
once   adv.Ò»¶È£¬Ò»´Î
one   num.,n.Ò»£¬Ò»¸ö
oneself   pron.×Ô¼º£¬×ÔÉí
onion   n.Ñó´Ð
only   adj.Î¨Ò»µÄ adv.½ö½ö
onset   n.¹¥»÷£¬×ÅÊÖ
onto   prep.µ½...ÉÏ
onward   adv.,adj.ÏòÇ°(µÄ)
opal   n.µ°°×Ê¯
opaque   adj.²»Í¸Ã÷µÄ
open   adj.¿ªµÄ v.´ò¿ª
opener   n.¿ª¹ÞÆ÷£¬Æð×Ó
opening   n.¿ªÊ¼£¬Í¨Â·£¬¿×
opera   n.¸è¾ç
operate   v.ÔË×ª£¬²Ù×÷£¬¿ªµ¶
operation   n.²Ù×÷£¬ÉúÐ§£¬ÊÖÊõ
operational   adj.ÒµÎñÉÏµÄ£¬²Ù×÷µÄ
operative   adj.ÓÐÐ§µÄ
operator   n.²Ù×÷ÈËÔ±£¬½ÓÏßÔ±
opinion   n.Òâ¼û£¬ÆÀÂÛ£¬¿´·¨
opium   n.Ñ»Æ¬
opponent   n.¶ÔÊÖ£¬µÐÊÖ
opportune   adj.¼°Ê±µÄ£¬´ÕÇÉµÄ
opportunity   n.»ú»á£¬»úÓö£¬Ê±»ú
oppose   v.·´¶Ô£¬·´¿¹
opposite   adj.¶ÔÁ¢µÄ£¬¶ÔÃæµÄ
opposition   n.µÐ¶Ô£¬·´¿¹
oppress   v.Ñ¹ÒÖ£¬Ñ¹ÆÈ£¬Ñ¹ÖÆ
oppression   n.Ñ¹ÆÈ
optical   adj.ÊÓ¾õµÄ£¬¹âÑ§µÄ
optimal   adj.×î¼ÑµÄ
optimism   n.ÀÖ¹Û(Ö÷Òå)
optimistic   adj.ÀÖ¹Û(Ö÷Òå)µÄ
optimize   v.×î¼Ñ»¯
optimum   n.×î¼ÑÌõ¼þ
option   n.Ñ¡Ôñ£¬¿ÉÑ¡ÔñµÄ¶«Î÷
optional   adj.¿ÉÈÎÑ¡µÄ£¬ËæÒâµÄ
or   conj.»òÕß£¬¼´£¬·ñÔò
oral   adj.¿ÚÍ·µÄ£¬¿ÚµÄ
orange   n.¸Ì½Û£¬³ÈÉ«
orbit   n.¹ìµÀ
orchard   n.¹ûÔ°
orchestra   n.¹ÜÏÒÀÖ¶Ó£¬½»ÏìÀÖ
order   n.ÃüÁî£¬¶©»õ£¬´ÎÐò
orderly   adj.ÕûÆëµÄ n.ÇÚÎñÔ±
ordinarily   adv.Í¨³£
ordinary   adj.ÆÕÍ¨µÄ£¬Ò»°ãµÄ
ore   n.¿óÊ¯£¬¿óÎï
organ   n.Æ÷¹Ù£¬·çÇÙ
organic   adj.Æ÷¹ÙµÄ£¬ÓÐ»úµÄ
organism   n.ÓÐ»úÌå
organization   n.×éÖ¯£¬ÍÅÌå
organizational   adj.×éÖ¯µÄ
organize   v.×éÖ¯£¬³ï±¸£¬±àÅÅ
orient   n.¶«·½ v.¶¨·½Õë
oriental   adj.,n.¶«·½µÄ(ÈË)
orientation   n.¶¨Ïò£¬ÇãÏòÐÔ
origin   n.ÆðÔ´£¬²úµØ
original   adj.Ô­Ê¼µÄ n.Ô­Îï
originality   n.¶À´´ÐÔ
originally   adv.Ô­À´£¬µ±³õ
originate   v.ÆðÔ´£¬Ê×´´
ornament   n.×°ÊÎ(Æ·)
ornamental   adj.×°ÊÎµÄ
orphan   n.¹Â¶ù
oscillation   n.°Ú¶¯£¬Õñ¶¯
other   adj.ÆäËûµÄ£¬±ðµÄ
otherwise   adv.ÁíÍâµÄ conj.·ñÔò
ought   v.Ó¦¸Ã£¬´ó¸Å
ounce   n.°»Ë¾
our   pron.ÎÒÃÇµÄ
ourselves   pron.ÎÒÃÇ×Ô¼º
out   adv.³öÍâ£¬ÏòÍâ£¬Íê
outbreak   n.±¬·¢£¬·¢×÷
outcome   n.½á¹û
outdoor   adj.Ò°ÍâµÄ£¬Â¶ÌìµÄ
outdoors   adv.ÔÚÍâµÄ£¬ÔÚÒ°ÍâµÄ
outer   adj.Íâ²¿µÄ£¬ÍâÃæµÄ
outermost   adj.×îÍâµÄ
outland   n.Æ«Æ§µØÇø
outlandish   adj.Íâ¹úµÄ
outlaw   n.ÌÓ·¸£¬´õÍ½
outlay   n.·ÑÓÃ£¬Ö§³ö
outlet   n.³ö¿Ú£¬ÏúÂ·
outline   n.ÂÖÀª£¬ÂÔÍ¼£¬´ó¸Ù
outlook   n.¿´·¨£¬¾°É«£¬Õ¹Íû
output   n.³ö²ú£¬²úÁ¿
outrage   n.±©ÐÐ
outrageous   adj.²Ð±©µÄ
outright   adj.¹«È»µØ£¬Ö±ÂÊµØ
outset   n.¿ªÍ·£¬Æð³õ
outside   n.Íâ²¿ adv.ÔÚÍâÃæ
outsider   n.¾ÖÍâÈË
outskirts   n.½¼Çø
outstanding   adj.½Ü³öµÄ£¬Î´¸¶¿îµÄ
outturn   n.Ð¶»õÇé¿ö
outward   adj.,adv.ÏòÍâ(µÄ)
oval   adj.ÍÖÔ²(ÐÎ)µÄ
oven   n.¿¾Â¯£¬¹øÔî
